Product,Franchise Code,Date,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
Amaretto,UN216,9/1/2019,90,130,100,220,89,777,130,24,146,245,38
Amaretto,UN216,5/1/2019,50,70,30,120,54,312,66,20,20,134,56
Amaretto,UN234,12/1/2019,90,120,80,210,78,965,92,24,73,190,47
Amaretto,UN234,11/1/2019,70,110,40,180,63,435,87,57,2,168,90
Amaretto,UN330,2/1/2019,110,70,30,180,95,608,50,30,-3,162,55
Amaretto,UN330,1/1/2019,10,30,20,40,18,821,27,5,17,50,17
Amaretto,UN419,8/1/2019,30,50,30,80,38,241,55,12,31,104,37
Amaretto,UN513,7/1/2019,60,80,50,140,60,336,80,19,53,157,48
Amaretto,UN513,6/1/2019,60,90,50,150,72,558,108,23,83,201,58
Amaretto,UN567,4/1/2019,70,100,70,170,84,500,116,26,103,224,52
Amaretto,UN614,10/1/2019,40,60,40,100,46,777,68,12,69,128,25
Amaretto,UN614,3/1/2019,50,70,20,120,58,338,72,22,25,145,59
Amaretto,IT603,12/1/2019,210,220,150,430,228,1459,228,63,218,510,92
Amaretto,IT603,11/1/2019,10,30,20,40,17,777,26,4,17,48,16
Amaretto,IT603,10/1/2019,60,90,10,150,75,522,105,68,12,201,102
Amaretto,IT603,9/1/2019,40,60,40,100,48,623,62,15,55,123,28
Amaretto,IT603,8/1/2019,20,30,0,50,29,169,36,11,-12,73,46
Amaretto,IT603,7/1/2019,70,110,90,180,89,777,130,24,148,245,37
Amaretto,IT603,6/1/2019,60,90,70,150,54,456,80,15,84,150,27
Amaretto,IT603,5/1/2019,20,40,40,60,32,456,48,8,44,90,21
Amaretto,IT603,4/1/2019,100,-50,-170,50,105,725,-44,95,-268,68,134
Amaretto,IT603,3/1/2019,80,90,50,170,69,965,81,21,59,168,45
Amaretto,IT603,2/1/2019,60,60,-10,120,63,435,63,57,-36,141,90
Amaretto,IT603,1/1/2019,40,60,40,100,49,623,63,16,53,125,30
Amaretto,ME319,9/1/2019,100,140,20,240,105,725,145,95,26,280,134
Amaretto,ME319,8/1/2019,50,80,50,130,60,336,80,19,51,157,49
Amaretto,ME319,6/1/2019,70,100,20,170,75,522,105,68,11,201,103
Amaretto,ME319,5/1/2019,10,40,30,50,17,777,26,4,17,48,16
Amaretto,ME319,2/1/2019,10,30,20,40,18,821,27,5,16,50,18
Amaretto,ME515,10/1/2019,50,100,80,150,67,400,113,20,109,201,45
Amaretto,ME515,4/1/2019,50,90,70,140,50,821,73,14,75,138,26
Amaretto,ME563,12/1/2019,270,370,260,640,234,1310,312,77,316,611,114
Amaretto,ME563,1/1/2019,50,60,20,110,54,312,66,20,20,134,56
Amaretto,ME712,11/1/2019,30,50,0,80,37,261,53,34,-16,101,66
Amaretto,ME712,7/1/2019,70,110,30,180,79,551,111,72,14,213,107
Amaretto,ME712,3/1/2019,30,40,-10,70,37,261,53,34,-16,101,66
Amaretto,GE209,12/1/2019,190,210,140,400,170,1091,171,47,154,382,76
Amaretto,GE209,1/1/2019,50,80,50,130,60,336,80,19,51,157,49
Amaretto,CH503,10/1/2019,140,160,110,300,170,1091,171,47,154,382,76
Amaretto,CH503,9/1/2019,50,60,20,110,54,312,66,20,20,134,56
Amaretto,CH503,7/1/2019,50,100,80,150,67,400,113,20,109,201,45
Amaretto,CH503,6/1/2019,30,50,30,80,38,241,55,12,33,104,36
Amaretto,CH503,4/1/2019,80,120,100,200,95,821,139,26,159,262,39
Amaretto,CH503,1/1/2019,30,40,40,70,36,777,54,10,51,101,22
Amaretto,CH541,12/1/2019,200,280,200,480,234,1310,312,77,315,611,116
Amaretto,CH541,2/1/2019,90,130,30,220,105,725,145,95,25,280,135
Amaretto,GE562,4/1/2019,40,60,40,100,49,623,63,16,55,125,29
Amaretto,GE626,2/1/2019,30,40,0,70,37,261,53,34,-17,101,67
Amaretto,GE650,6/1/2019,70,120,100,190,89,777,130,24,148,245,37
Amaretto,GE661,7/1/2019,100,170,120,270,124,961,186,40,179,347,75
Amaretto,GE714,9/1/2019,30,50,30,80,48,623,62,15,53,123,29
Amaretto,GE805,5/1/2019,10,30,20,40,18,821,27,5,17,50,17
Amaretto,GE858,8/1/2019,20,50,50,70,32,456,48,8,45,90,20
Amaretto,GE909,10/1/2019,260,300,220,560,207,965,245,64,248,506,90
Amaretto,GE916,11/1/2019,80,110,80,190,83,623,107,27,106,213,41
Amaretto,GE916,3/1/2019,50,70,50,120,44,623,56,14,45,112,28
Amaretto,CH971,11/1/2019,260,380,260,640,271,2101,407,94,408,759,152
Amaretto,CH971,8/1/2019,80,110,20,190,79,551,111,72,14,213,107
Amaretto,CH971,5/1/2019,60,400,360,460,72,558,422,23,572,553,58
Amaretto,CH971,3/1/2019,60,100,70,160,55,312,75,18,47,145,47
Amaretto,MA435,12/1/2019,110,180,130,290,124,961,186,40,179,347,75
Amaretto,MA435,11/1/2019,340,500,370,840,271,2101,407,94,408,759,152
Amaretto,MA435,10/1/2019,80,120,60,200,67,400,93,22,44,179,68
Amaretto,MA435,9/1/2019,20,40,20,60,28,965,34,8,8,69,30
Amaretto,MA435,8/1/2019,40,50,10,90,34,197,42,12,-5,85,47
Amaretto,MA435,6/1/2019,40,60,50,100,34,777,51,9,47,95,22
Amaretto,MA435,5/1/2019,90,100,40,190,85,494,105,32,61,213,69
Amaretto,MA435,3/1/2019,150,210,130,360,144,862,201,47,173,386,94
Amaretto,MA801,7/1/2019,60,100,70,160,53,338,77,16,59,145,41
Amaretto,MA801,4/1/2019,40,70,40,110,48,372,72,15,39,134,49
Amaretto,MA801,2/1/2019,80,110,70,190,84,651,126,27,106,235,61
Amaretto,MA801,1/1/2019,60,90,50,150,48,372,72,15,41,134,48
Amaretto,RU262,11/1/2019,60,80,50,140,57,364,83,18,65,157,43
Amaretto,RU262,7/1/2019,40,70,20,110,58,338,72,22,26,145,58
Amaretto,RU262,3/1/2019,100,150,120,250,95,821,139,26,157,262,40
Amaretto,RU414,10/1/2019,50,80,50,130,61,390,89,19,73,168,44
Amaretto,RU414,8/1/2019,30,50,40,80,32,821,48,8,45,90,20
Amaretto,RU414,5/1/2019,20,40,0,60,37,261,53,34,-16,101,66
Amaretto,RU608,9/1/2019,50,80,60,130,50,821,73,14,73,138,27
Amaretto,RU608,1/1/2019,50,90,80,140,89,777,130,24,146,245,38
Amaretto,RU715,6/1/2019,20,30,30,50,32,456,48,8,44,90,21
Amaretto,RU715,4/1/2019,190,210,140,400,228,1459,228,63,220,510,91
Amaretto,RU715,2/1/2019,150,220,150,370,234,1310,312,77,316,611,114
Amaretto,RU920,12/1/2019,30,40,10,70,35,196,47,11,14,92,40
Amaretto,BR303,12/1/2019,40,70,50,110,54,456,80,15,83,150,28
Amaretto,BR303,3/1/2019,40,80,50,120,67,400,113,20,109,201,45
Amaretto,BR719,11/1/2019,10,30,20,40,18,821,27,5,16,50,18
Amaretto,BR719,10/1/2019,30,50,40,80,32,821,48,8,44,90,21
Amaretto,BR719,6/1/2019,70,110,60,180,84,651,126,27,106,235,61
Amaretto,BR719,1/1/2019,40,70,60,110,54,456,80,15,84,150,27
Amaretto,BR720,8/1/2019,80,130,80,210,72,558,108,23,83,201,58
Amaretto,BR720,7/1/2019,70,110,70,180,84,651,126,27,104,235,62
Amaretto,BR720,5/1/2019,50,70,50,120,48,623,62,15,53,123,29
Amaretto,BR720,2/1/2019,40,70,50,110,50,821,73,14,73,138,27
Amaretto,BR970,9/1/2019,160,160,100,320,170,1091,171,47,154,382,76
Amaretto,BR970,4/1/2019,220,300,200,520,234,1310,312,77,316,611,114
Caffe Latte,FR505,12/1/2019,50,70,40,120,55,312,75,18,47,145,47
Caffe Latte,FR505,11/1/2019,10,40,30,50,17,777,26,4,16,48,17
Caffe Latte,FR505,10/1/2019,10,30,20,40,17,777,26,4,17,48,16
Caffe Latte,FR505,9/1/2019,50,70,50,120,61,390,89,19,75,168,43
Caffe Latte,FR505,8/1/2019,50,80,60,130,46,777,68,12,70,128,24
Caffe Latte,FR505,7/1/2019,260,270,180,530,228,1459,228,63,218,510,92
Caffe Latte,FR505,6/1/2019,60,80,60,140,69,965,81,21,61,168,44
Caffe Latte,FR505,5/1/2019,70,100,60,170,77,432,103,25,78,201,56
Caffe Latte,FR505,4/1/2019,30,40,10,70,35,196,47,11,14,92,40
Caffe Latte,FR505,3/1/2019,60,90,40,150,58,338,72,22,25,145,59
Caffe Latte,FR505,2/1/2019,100,130,100,230,83,623,107,27,106,213,41
Caffe Latte,FR505,1/1/2019,100,140,110,240,95,821,139,26,157,262,40
Caffe Latte,JA206,12/1/2019,40,60,50,100,32,821,48,8,44,90,21
Caffe Latte,JA206,10/1/2019,80,100,60,180,77,432,103,25,79,201,55
Caffe Latte,JA206,7/1/2019,100,130,70,230,85,494,105,32,61,213,69
Caffe Latte,JA206,5/1/2019,70,100,70,170,57,364,83,18,65,157,43
Caffe Latte,JA206,1/1/2019,180,-40,-120,140,144,862,-26,47,-182,132,96
Caffe Latte,JA253,2/1/2019,20,30,20,50,23,623,31,7,19,60,20
Caffe Latte,JA360,9/1/2019,30,40,20,70,28,965,34,8,6,69,32
Caffe Latte,JA425,11/1/2019,40,60,50,100,33,777,48,9,44,91,21
Caffe Latte,JA425,8/1/2019,80,90,50,170,78,965,92,24,73,190,47
Caffe Latte,JA425,4/1/2019,100,140,100,240,95,608,139,30,136,262,55
Caffe Latte,JA425,3/1/2019,90,140,60,230,79,551,111,72,14,213,107
Caffe Latte,JA509,6/1/2019,80,110,70,190,84,500,116,26,104,224,51
Caffe Latte,UN225,12/1/2019,110,10,-30,120,88,525,11,27,-61,111,52
Caffe Latte,UN225,7/1/2019,60,90,20,150,63,435,87,57,0,168,91
Caffe Latte,UN225,6/1/2019,50,70,40,120,64,965,76,19,56,157,42
Caffe Latte,UN225,3/1/2019,90,140,110,230,89,777,130,24,146,245,38
Caffe Latte,UN318,11/1/2019,60,90,10,150,75,522,105,68,11,201,103
Caffe Latte,UN318,9/1/2019,20,30,10,50,35,196,47,11,14,92,40
Caffe Latte,UN318,2/1/2019,30,60,60,90,54,456,80,15,84,150,27
Caffe Latte,UN337,8/1/2019,50,90,60,140,84,651,126,27,106,235,61
Caffe Latte,UN504,10/1/2019,210,270,160,480,245,1419,301,93,273,611,132
Caffe Latte,UN504,1/1/2019,150,160,100,310,228,1459,228,63,220,510,91
Caffe Latte,UN985,5/1/2019,20,30,-10,50,29,169,36,11,-14,73,47
Caffe Latte,UN985,4/1/2019,60,90,40,150,72,558,108,23,84,201,57
Caffe Latte,SP702,10/1/2019,40,60,40,100,61,390,89,19,75,168,43
Caffe Latte,SP702,1/1/2019,70,100,60,170,84,500,116,26,104,224,51
Caffe Latte,SP775,12/1/2019,30,50,30,80,44,623,56,14,47,112,27
Caffe Latte,SP775,11/1/2019,50,90,70,140,54,456,80,15,84,150,27
Caffe Latte,SP775,9/1/2019,30,50,40,80,32,456,48,8,45,90,20
Caffe Latte,SP775,8/1/2019,10,30,10,40,29,169,36,11,-14,73,47
Caffe Latte,SP775,7/1/2019,40,80,50,120,72,558,108,23,84,201,57
Caffe Latte,SP775,6/1/2019,50,80,50,130,84,500,116,26,104,224,51
Caffe Latte,SP775,5/1/2019,40,60,40,100,38,777,56,10,55,105,22
Caffe Latte,SP775,4/1/2019,160,-160,-240,0,245,1419,-245,93,-552,19,132
Caffe Latte,SP775,3/1/2019,20,40,0,60,34,197,42,12,-6,85,48
Caffe Latte,SP775,2/1/2019,40,80,20,120,75,522,105,68,12,201,102
Caffe Latte,GE213,8/1/2019,10,30,20,40,17,777,26,4,17,48,16
Caffe Latte,GE213,7/1/2019,30,50,40,80,33,777,48,9,44,91,21
Caffe Latte,GE310,9/1/2019,50,80,50,130,57,364,83,18,65,157,43
Caffe Latte,GE310,3/1/2019,50,80,20,130,63,435,87,57,0,168,91
Caffe Latte,GE323,1/1/2019,70,110,30,180,79,551,111,72,16,213,106
Caffe Latte,GE415,4/1/2019,180,190,100,370,245,1419,238,93,173,540,133
Caffe Latte,CH503,11/1/2019,20,50,50,70,33,777,48,9,44,91,21
Caffe Latte,CH503,3/1/2019,40,60,30,100,58,338,72,22,26,145,58
Caffe Latte,CH503,1/1/2019,40,60,30,100,48,372,72,15,39,134,49
Caffe Latte,GE510,6/1/2019,60,80,40,140,85,494,105,32,62,213,68
Caffe Latte,CH541,8/1/2019,170,220,160,390,207,965,245,64,249,506,89
Caffe Latte,CH541,5/1/2019,30,50,30,80,44,623,56,14,45,112,28
Caffe Latte,CH541,2/1/2019,80,120,90,200,95,608,139,30,134,262,56
Caffe Latte,GE619,2/1/2019,120,180,120,300,144,862,201,47,173,386,94
Caffe Latte,GE650,5/1/2019,80,100,40,180,85,494,105,32,62,213,68
Caffe Latte,GE714,10/1/2019,70,10,-20,80,88,525,11,27,-61,111,52
Caffe Latte,GE949,12/1/2019,70,90,60,160,83,623,107,27,106,213,41
Caffe Latte,GE951,11/1/2019,20,50,50,70,34,777,51,9,47,95,22
Caffe Latte,CH971,12/1/2019,20,30,0,50,34,197,42,12,-6,85,48
Caffe Latte,CH971,10/1/2019,40,50,20,90,54,312,66,20,20,134,56
Caffe Latte,CH971,9/1/2019,20,40,20,60,28,965,34,8,6,69,32
Caffe Latte,CH971,7/1/2019,20,50,50,70,32,821,48,8,45,90,20
Caffe Latte,CH971,6/1/2019,50,70,40,120,60,336,80,19,51,157,49
Caffe Latte,CH971,4/1/2019,150,-10,-70,140,207,965,-27,64,-176,201,90
Caffe Latte,MA435,12/1/2019,70,10,-30,80,88,525,11,27,-62,111,54
Caffe Latte,MA435,11/1/2019,50,80,50,130,78,965,92,24,73,190,47
Caffe Latte,MA435,10/1/2019,70,90,60,160,83,623,107,27,104,213,42
Caffe Latte,MA435,9/1/2019,80,120,90,200,95,608,139,30,134,262,56
Caffe Latte,MA435,8/1/2019,80,120,100,200,95,821,139,26,157,262,40
